Description,GPA,Major,Minor,Transfer,Graduation Date,School Years,Minimum Units,Gender,Citizenship,Name,Amount,Deadline,Custom Required Info,Prefered Majors
participates in at least 1 club,3.7,None,Electrical Engineering,TRUE,2025,junior,12,None,TRUE,IEEE Scholarship,500,8/17/2024,None,Electrical and Computer Engineering
Part-time job in healthcare and medical research,3.7,Biology,None,TRUE,2026,sophomore,15,None,TRUE,Medical Innovator Scholarship,3500,6/15/2024,Resume,Biology and Medical Research
Part-time job in retail,3.7,Business Administration,None,TRUE,2026,sophomore,15,None,TRUE,Retail Excellence Scholarship,2000,5/10/2024,None,None
Volunteer at animal shelter,3.7,None,None,TRUE,2026,sophomore,13,female,TRUE,Animal Advocate Scholarship,1500,3/10/2024,None,None
Volunteer at animal shelter and pet photography,3.7,None,None,TRUE,2026,sophomore,13,female,TRUE,Animal Lover Scholarship,1500,3/10/2024,None,Zoology and Photography
Volunteer at animal shelter and veterinary medicine,3.7,None,None,TRUE,2026,sophomore,13,female,TRUE,Future Vet Scholarship,1500,3/10/2024,None,Veterinary Science and Animal Science
None,3.8,None,None,FALSE,2027/2030,freshman/sophomore,13,None,TRUE,Business Scholarship,4000,7/15/2024,None,None
None,3.8,Computer Science,None,FALSE,2024,senior,18,None,TRUE,Tech Innovator Scholarship,3000,6/30/2024,None,Data Science
Part-time coding projects,3.8,Computer Science,None,TRUE,2024,senior,12,None,TRUE,Code Master Scholarship,3500,6/15/2024,GitHub profile,None
Part-time job in tech startup and video game development,3.8,Computer Science,None,TRUE,2024,senior,12,None,TRUE,Game Developer Scholarship,4000,6/30/2024,Portfolio,Computer Science and Game Design
Part-time coding projects and app development,3.8,Computer Science,None,TRUE,2024,senior,12,None,TRUE,App Developer Scholarship,4000,6/30/2024,GitHub profile,Computer Science and Software Engineering
Part-time coding projects and robotics club,3.8,Computer Science,None,TRUE,2026,sophomore,12,None,TRUE,Innovator Scholarship,3500,6/15/2024,GitHub profile,Computer Science and Electrical Engineering
Internship at tech company and artificial intelligence,3.9,Computer Science,None,FALSE,2024,senior,15,None,TRUE,AI Innovator Scholarship,3000,6/30/2024,Resume,Computer Science and Artificial Intelligence
Part-time job in tech support,3.9,Computer Science,None,FALSE,2024,senior,16,None,TRUE,Tech Savvy Scholarship,3000,6/30/2024,None,None
Internship at tech company,3.9,None,None,FALSE,2024,senior,15,None,TRUE,Future Leader Scholarship,5000,5/20/2024,Resume,Business Administration
